stepnum,cmdfile,steptablename,estrowcount
99.00,99.postalcode_province.sql,,-1
101.00,101.canadianpostalcodes.ddl,,-1
102.00,102.weather_station.ddl,,-1
103.00,103.station_years.ddl,,-1
104.00,104.station_months.ddl,,-1
105.00,105.station_data.ddl,,-1
110.00,110.calendar.sql,,-1
120.00,120.station_events.sql,,-1
