province	segment	postalcode	stationid	distance
NL	3	A1C5M9	6733	5.2566760002
NL	3	A1C5M9	6581	5.3466760001
NL	3	A1C5M9	6579	5.3566760001
NL	3	A1C5M9	6660	5.4766760001
NL	3	A1C5M9	5020	5.9266760001
NL	3	A1C5M9	6644	5.9466760001
NL	3	A1C5M9	6665	6.3166760001
NL	3	A1C5M9	6734	6.3166760002
NL	3	A1C5M9	6663	6.3181100001
NL	3	A1C5M9	6664	6.3566760001
NL	3	A1C5M9	6616	6.4566760001
NL	3	A1C5M9	6695	6.4581100001
NL	3	A1C5M9	6693	6.5081100001
NL	3	A1C5M9	54640	6.5081100002
NL	3	A1C5M9	6717	6.5666760001
NL	3	A1C5M9	6706	6.6566760001
NL	3	A1C5M9	6741	6.6666760001
NL	3	A1C5M9	6932	6.6666760002
NL	3	A1C5M9	6670	6.7066760001
NL	3	A1C5M9	6740	6.7466760001
NL	3	A1C5M9	52759	6.7566760001
NL	3	A1C5M9	47607	6.7966760001
NL	3	A1C5M9	6705	7.1166760001
NL	3	A1C5M9	6938	7.1166760002
NL	3	A1C5M9	6783	7.7966760001
NL	3	A1C5M9	10227	7.7966760002
NL	3	A1C5M9	51918	7.8166760001
NL	3	A1C5M9	6803	7.9666760001
NL	3	A1C5M9	6804	7.9666760002
NL	3	A1C5M9	6789	13.3366760001
NL	3	A1C5M9	6788	13.3466760001
NL	3	A1C5M9	6779	14.1666760001
NL	3	A1C5M9	6781	15.3366760001
NL	3	A1C5M9	6940	17.1666760001
NL	3	A1C5M9	6774	17.3166760001
NL	3	A1C5M9	10887	17.3166760002
NL	3	A1C5M9	49629	17.3366760001
NL	3	A1C5M9	6787	17.8966760001
NL	3	A1C5M9	53502	17.8966760002
NL	3	A1C5M9	53507	17.8966760003
NL	3	A1C5M9	6799	18.9966760001
NL	3	A1C5M9	6595	19.5166760001
NL	3	A1C5N1	6672	0.1119160001
NL	3	A1C5N1	6681	0.1890540001
NL	3	A1C5N1	6694	0.4680840001
NL	3	A1C5N1	6730	0.4680840002
NL	3	A1C5N1	6658	0.4980840001
NL	3	A1C5N1	6602	0.5980840001
NL	3	A1C5N1	6659	0.5980840002
NL	3	A1C5N1	6559	0.6580840001
NL	3	A1C5N1	6731	0.8790540001
NL	3	A1C5N1	6748	1.0790540001
NL	3	A1C5N1	6753	1.2880840001
NL	3	A1C5N1	6682	1.3880840001
NL	3	A1C5N1	6754	1.4480840001
NL	3	A1C5N1	6671	1.5090540001
NL	3	A1C5N1	10113	1.5380840001
NL	3	A1C5N1	6556	1.5480840001
NL	3	A1C5N1	6557	1.5480840002
NL	3	A1C5N1	6725	1.6980840001
NL	3	A1C5N1	6599	1.7790540001
NL	3	A1C5N1	6578	1.9380840001
NL	3	A1C5N1	6669	1.9790540001
NL	3	A1C5N1	10909	2.1080840001
NL	3	A1C5N1	6696	2.2490540001
NL	3	A1C5N1	6575	2.2580840001
NL	3	A1C5N1	6702	2.5580840001
NL	3	A1C5N1	6676	2.8280840001
NL	3	A1C5N1	6635	2.9780840001
NL	3	A1C5N1	6667	3.1080840001
NL	3	A1C5N1	50088	3.2390540001
NL	3	A1C5N1	30346	3.2490540001
NL	3	A1C5N1	6633	3.2590540001
NL	3	A1C5N1	6594	3.3990540001
NL	3	A1C5N1	55398	3.4490540001
NL	3	A1C5N1	6634	3.4790540001
NL	3	A1C5N1	6636	3.5590540001
NL	3	A1C5N1	6937	4.4290540001
NL	3	A1C5N1	6666	4.9590540001
NL	3	A1C5N1	6582	5.0490540001
NL	3	A1C5N1	6646	5.0790540001
NL	3	A1C5N1	50678	5.0890540001
NL	3	A1C5N1	6755	5.2190540001
NL	3	A1C5N1	6668	5.3190540001
NL	3	A1C5N1	6733	5.3190540002
NL	3	A1C5N1	6581	5.4090540001
NL	3	A1C5N1	6579	5.4190540001
NL	3	A1C5N1	6660	5.5390540001
NL	3	A1C5N1	5020	5.9890540001
NL	3	A1C5N1	6644	6.0090540001
NL	3	A1C5N1	6663	6.2790540001
NL	3	A1C5N1	6665	6.3790540001
NL	3	A1C5N1	6734	6.3790540002
NL	3	A1C5N1	6664	6.4190540001
NL	3	A1C5N1	6693	6.4490540001
NL	3	A1C5N1	54640	6.4490540002
NL	3	A1C5N1	6695	6.4990540001
NL	3	A1C5N1	6616	6.5190540001
NL	3	A1C5N1	6717	6.6290540001
NL	3	A1C5N1	6706	6.7190540001
NL	3	A1C5N1	6741	6.7290540001
NL	3	A1C5N1	6932	6.7290540002
NL	3	A1C5N1	6670	6.7690540001
NL	3	A1C5N1	6740	6.8090540001
NL	3	A1C5N1	52759	6.8190540001
NL	3	A1C5N1	47607	6.8590540001
NL	3	A1C5N1	6705	7.1790540001
NL	3	A1C5N1	6938	7.1790540002
NL	3	A1C5N1	6783	7.8590540001
NL	3	A1C5N1	10227	7.8590540002
NL	3	A1C5N1	51918	7.8790540001
NL	3	A1C5N1	6803	8.0290540001
NL	3	A1C5N1	6804	8.0290540002
NL	3	A1C5N1	6789	13.3990540001
NL	3	A1C5N1	6788	13.4090540001
NL	3	A1C5N1	6779	14.2290540001
NL	3	A1C5N1	6781	15.3990540001
NL	3	A1C5N1	6940	17.2290540001
NL	3	A1C5N1	6774	17.3790540001
NL	3	A1C5N1	10887	17.3790540002
NL	3	A1C5N1	49629	17.3990540001
NL	3	A1C5N1	6787	17.9590540001
NL	3	A1C5N1	53502	17.9590540002
NL	3	A1C5N1	53507	17.9590540003
NL	3	A1C5N1	6799	19.0590540001
NL	3	A1C5N1	6595	19.5790540001
NL	3	A1C5N2	6672	0.1119150001
NL	3	A1C5N2	6681	0.1890530001
NL	3	A1C5N2	6694	0.4680850001
NL	3	A1C5N2	6730	0.4680850002
NL	3	A1C5N2	6658	0.4980850001
NL	3	A1C5N2	6602	0.5980850001
NL	3	A1C5N2	6659	0.5980850002
NL	3	A1C5N2	6559	0.6580850001
NL	3	A1C5N2	6731	0.8790530001
NL	3	A1C5N2	6748	1.0790530001
NL	3	A1C5N2	6753	1.2880850001
NL	3	A1C5N2	6682	1.3880850001
NL	3	A1C5N2	6754	1.4480850001
NL	3	A1C5N2	6671	1.5090530001
NL	3	A1C5N2	10113	1.5380850001
NL	3	A1C5N2	6556	1.5480850001
NL	3	A1C5N2	6557	1.5480850002
NL	3	A1C5N2	6725	1.6980850001
NL	3	A1C5N2	6599	1.7790530001
NL	3	A1C5N2	6578	1.9380850001
NL	3	A1C5N2	6669	1.9790530001
NL	3	A1C5N2	10909	2.1080850001
NL	3	A1C5N2	6696	2.2490530001
NL	3	A1C5N2	6575	2.2580850001
NL	3	A1C5N2	6702	2.5580850001
NL	3	A1C5N2	6676	2.8280850001
NL	3	A1C5N2	6635	2.9780850001
NL	3	A1C5N2	6667	3.1080850001
NL	3	A1C5N2	50088	3.2390530001
NL	3	A1C5N2	30346	3.2490530001
NL	3	A1C5N2	6633	3.2590530001
NL	3	A1C5N2	6594	3.3990530001
NL	3	A1C5N2	55398	3.4490530001
NL	3	A1C5N2	6634	3.4790530001
NL	3	A1C5N2	6636	3.5590530001
NL	3	A1C5N2	6937	4.4290530001
NL	3	A1C5N2	6666	4.9590530001
NL	3	A1C5N2	6582	5.0490530001
NL	3	A1C5N2	6646	5.0790530001
NL	3	A1C5N2	50678	5.0890530001
NL	3	A1C5N2	6755	5.2190530001
NL	3	A1C5N2	6668	5.3190530001
NL	3	A1C5N2	6733	5.3190530002
NL	3	A1C5N2	6581	5.4090530001
NL	3	A1C5N2	6579	5.4190530001
NL	3	A1C5N2	6660	5.5390530001
NL	3	A1C5N2	5020	5.9890530001
NL	3	A1C5N2	6644	6.0090530001
NL	3	A1C5N2	6663	6.2790530001
NL	3	A1C5N2	6665	6.3790530001
NL	3	A1C5N2	6734	6.3790530002
NL	3	A1C5N2	6664	6.4190530001
NL	3	A1C5N2	6693	6.4490530001
NL	3	A1C5N2	54640	6.4490530002
NL	3	A1C5N2	6695	6.4990530001
NL	3	A1C5N2	6616	6.5190530001
NL	3	A1C5N2	6717	6.6290530001
NL	3	A1C5N2	6706	6.7190530001
NL	3	A1C5N2	6741	6.7290530001
NL	3	A1C5N2	6932	6.7290530002
NL	3	A1C5N2	6670	6.7690530001
NL	3	A1C5N2	6740	6.8090530001
NL	3	A1C5N2	52759	6.8190530001
NL	3	A1C5N2	47607	6.8590530001
NL	3	A1C5N2	6705	7.1790530001
NL	3	A1C5N2	6938	7.1790530002
NL	3	A1C5N2	6783	7.8590530001
NL	3	A1C5N2	10227	7.8590530002
NL	3	A1C5N2	51918	7.8790530001
NL	3	A1C5N2	6803	8.0290530001
NL	3	A1C5N2	6804	8.0290530002
NL	3	A1C5N2	6789	13.3990530001
NL	3	A1C5N2	6788	13.4090530001
NL	3	A1C5N2	6779	14.2290530001
NL	3	A1C5N2	6781	15.3990530001
NL	3	A1C5N2	6940	17.2290530001
NL	3	A1C5N2	6774	17.3790530001
NL	3	A1C5N2	10887	17.3790530002
NL	3	A1C5N2	49629	17.3990530001
NL	3	A1C5N2	6787	17.9590530001
NL	3	A1C5N2	53502	17.9590530002
NL	3	A1C5N2	53507	17.9590530003
NL	3	A1C5N2	6799	19.0590530001
NL	3	A1C5N2	6595	19.5790530001
NL	3	A1C5N3	6672	0.1119140001
NL	3	A1C5N3	6681	0.1890520001
NL	3	A1C5N3	6694	0.4680860001
NL	3	A1C5N3	6730	0.4680860002
NL	3	A1C5N3	6658	0.4980860001
NL	3	A1C5N3	6602	0.5980860001
NL	3	A1C5N3	6659	0.5980860002
NL	3	A1C5N3	6559	0.6580860001
NL	3	A1C5N3	6731	0.8790520001
NL	3	A1C5N3	6748	1.0790520001
NL	3	A1C5N3	6753	1.2880860001
NL	3	A1C5N3	6682	1.3880860001
NL	3	A1C5N3	6754	1.4480860001
NL	3	A1C5N3	6671	1.5090520001
NL	3	A1C5N3	10113	1.5380860001
NL	3	A1C5N3	6556	1.5480860001
NL	3	A1C5N3	6557	1.5480860002
NL	3	A1C5N3	6725	1.6980860001
NL	3	A1C5N3	6599	1.7790520001
NL	3	A1C5N3	6578	1.9380860001
NL	3	A1C5N3	6669	1.9790520001
NL	3	A1C5N3	10909	2.1080860001
NL	3	A1C5N3	6696	2.2490520001
NL	3	A1C5N3	6575	2.2580860001
NL	3	A1C5N3	6702	2.5580860001
NL	3	A1C5N3	6676	2.8280860001
NL	3	A1C5N3	6635	2.9780860001
NL	3	A1C5N3	6667	3.1080860001
NL	3	A1C5N3	50088	3.2390520001
NL	3	A1C5N3	30346	3.2490520001
NL	3	A1C5N3	6633	3.2590520001
NL	3	A1C5N3	6594	3.3990520001
NL	3	A1C5N3	55398	3.4490520001
NL	3	A1C5N3	6634	3.4790520001
NL	3	A1C5N3	6636	3.5590520001
NL	3	A1C5N3	6937	4.4290520001
NL	3	A1C5N3	6666	4.9590520001
NL	3	A1C5N3	6582	5.0490520001
NL	3	A1C5N3	6646	5.0790520001
NL	3	A1C5N3	50678	5.0890520001
NL	3	A1C5N3	6755	5.2190520001
NL	3	A1C5N3	6668	5.3190520001
NL	3	A1C5N3	6733	5.3190520002
NL	3	A1C5N3	6581	5.4090520001
NL	3	A1C5N3	6579	5.4190520001
NL	3	A1C5N3	6660	5.5390520001
NL	3	A1C5N3	5020	5.9890520001
NL	3	A1C5N3	6644	6.0090520001
NL	3	A1C5N3	6663	6.2790520001
NL	3	A1C5N3	6665	6.3790520001
NL	3	A1C5N3	6734	6.3790520002
NL	3	A1C5N3	6664	6.4190520001
NL	3	A1C5N3	6693	6.4490520001
NL	3	A1C5N3	54640	6.4490520002
NL	3	A1C5N3	6695	6.4990520001
NL	3	A1C5N3	6616	6.5190520001
NL	3	A1C5N3	6717	6.6290520001
NL	3	A1C5N3	6706	6.7190520001
NL	3	A1C5N3	6741	6.7290520001
NL	3	A1C5N3	6932	6.7290520002
NL	3	A1C5N3	6670	6.7690520001
NL	3	A1C5N3	6740	6.8090520001
NL	3	A1C5N3	52759	6.8190520001
NL	3	A1C5N3	47607	6.8590520001
NL	3	A1C5N3	6705	7.1790520001
NL	3	A1C5N3	6938	7.1790520002
NL	3	A1C5N3	6783	7.8590520001
NL	3	A1C5N3	10227	7.8590520002
NL	3	A1C5N3	51918	7.8790520001
NL	3	A1C5N3	6803	8.0290520001
NL	3	A1C5N3	6804	8.0290520002
NL	3	A1C5N3	6789	13.3990520001
NL	3	A1C5N3	6788	13.4090520001
NL	3	A1C5N3	6779	14.2290520001
NL	3	A1C5N3	6781	15.3990520001
NL	3	A1C5N3	6940	17.2290520001
NL	3	A1C5N3	6774	17.3790520001
NL	3	A1C5N3	10887	17.3790520002
NL	3	A1C5N3	49629	17.3990520001
NL	3	A1C5N3	6787	17.9590520001
NL	3	A1C5N3	53502	17.9590520002
NL	3	A1C5N3	53507	17.9590520003
NL	3	A1C5N3	6799	19.0590520001
NL	3	A1C5N3	6595	19.5790520001
NL	3	A1C5N4	6672	0.0978870001
NL	3	A1C5N4	6681	0.1883910001
NL	3	A1C5N4	6694	0.4821130001
NL	3	A1C5N4	6730	0.4821130002
NL	3	A1C5N4	6658	0.5121130001
